time;gFx;gFy;gFz;TgF
0.00256;-0,0222;0,1277;0,9581;0,967
0.002998846;-0,0249;0,1252;0,9714;0,980
0.003350769;-0,0261;0,1250;0,9819;0,990
0.003615692;-0,0281;0,1231;0,9935;1,001
0.003811461;-0,0312;0,1228;1,0028;1,011
0.004011461;-0,0317;0,1189;1,0084;1,016
0.004297231;-0,0337;0,1182;1,0161;1,024
0.006873231;-0,0333;0,1189;1,0203;1,028
0.013675769;-0,0337;0,1184;1,0240;1,031
0.014447154;-0,0345;0,1157;1,0233;1,030
0.014957923;-0,0354;0,1130;1,0247;1,032
0.016773538;-0,0345;0,1142;1,0250;1,032
0.019404923;-0,0328;0,1135;1,0250;1,032
0.022022231;-0,0340;0,1171;1,0247;1,032
0.027354538;-0,0323;0,1159;1,0250;1,032
0.028337846;-0,0305;0,1171;1,0233;1,030
0.029820384;-0,0303;0,1164;1,0220;1,029
0.032153615;-0,0312;0,1162;1,0201;1,027
0.034714846;-0,0323;0,1159;1,0184;1,025
0.037138846;-0,0340;0,1135;1,0142;1,021
0.040258461;-0,0364;0,1159;1,0096;1,017
0.04318;-0,0347;0,1162;1,0049;1,012
0.044752077;-0,0347;0,1177;1,0008;1,008
0.047198769;-0,0379;0,1191;0,9923;1,000
0.049729538;-0,0401;0,1206;0,9900;0,998
0.052257846;-0,0426;0,1213;0,9898;0,998
0.054910231;-0,0403;0,1215;0,9851;0,993
0.057433307;-0,0373;0,1210;0,9815;0,990
0.059899461;-0,0328;0,1201;0,9766;0,985
0.062381231;-0,0254;0,1162;0,9746;0,982
0.064826461;-0,0225;0,1174;0,9663;0,974
0.067453307;-0,0228;0,1194;0,9583;0,966
0.069867077;-0,0203;0,1223;0,9521;0,960
0.072393846;-0,0142;0,1235;0,9532;0,961
0.077438461;-0,0135;0,1228;0,9539;0,962
0.078292;-0,0100;0,1223;0,9561;0,964
0.079932384;-0,0063;0,1213;0,9614;0,969
0.082386538;-0,0124;0,1243;0,9597;0,968
0.084974846;-0,0179;0,1277;0,9588;0,967
0.088006538;-0,0205;0,1282;0,9614;0,970
0.093411154;-0,0210;0,1271;0,9670;0,976
0.094241923;-0,0200;0,1275;0,9705;0,979
0.095756692;-0,0176;0,1247;0,9756;0,984
0.098080692;-0,0127;0,1184;0,9830;0,990
0.100033538;-0,0151;0,1169;0,9886;0,996
0.102652692;-0,0181;0,1208;0,9868;0,994
0.105057615;-0,0203;0,1226;0,9866;0,994
0.107890461;-0,0235;0,1203;0,9898;0,997
0.110293;-0,0230;0,1194;0,9949;1,002
0.113421307;-0,0244;0,1189;0,9996;1,007
0.115113615;-0,0232;0,1174;1,0022;1,009
0.117768307;-0,0247;0,1166;1,0035;1,011
0.120148307;-0,0254;0,1147;1,0022;1,009
0.123596923;-0,0252;0,1145;1,0033;1,010
0.125349538;-0,0228;0,1117;1,0030;1,009
0.128069307;-0,0179;0,1084;1,0042;1,010
0.130375154;-0,0191;0,1122;1,0012;1,008
0.132798231;-0,0217;0,1152;0,9986;1,005
0.135204;-0,0217;0,1162;0,9981;1,005
0.137662461;-0,0200;0,1182;0,9979;1,005
0.140318154;-0,0181;0,1189;0,9986;1,006
0.142786769;-0,0166;0,1174;0,9961;1,003
0.145347154;-0,0149;0,1179;0,9956;1,003
0.147954846;-0,0130;0,1142;0,9979;1,004
0.150584;-0,0107;0,1142;0,9961;1,003
0.153083769;-0,0083;0,1089;0,9993;1,005
0.155480307;-0,0110;0,1103;0,9996;1,006
0.158190154;-0,0117;0,1140;0,9956;1,002
0.160736923;-0,0107;0,1157;0,9949;1,002
0.163126846;-0,0112;0,1154;0,9956;1,002
0.165659461;-0,0088;0,1147;0,9949;1,002
0.168318154;-0,0068;0,1138;0,9937;1,000
0.170772307;-0,0081;0,1125;0,9905;0,997
0.176923461;-0,0100;0,1133;0,9900;0,997
0.177884923;-0,0079;0,1115;0,9917;0,998
0.178569;-0,0095;0,1076;0,9947;1,001
0.180995077;-0,0142;0,1113;0,9905;0,997
0.183420615;-0,0161;0,1182;0,9898;0,997
0.185723077;-0,0181;0,1189;0,9917;0,999
0.188202461;-0,0188;0,1201;0,9915;0,999
0.193862846;-0,0193;0,1201;0,9915;0,999
0.194669307;-0,0176;0,1184;0,9917;0,999
0.195909923;-0,0171;0,1162;0,9907;0,998
0.198312077;-0,0191;0,1166;0,9940;1,001
0.200785231;-0,0193;0,1179;0,9937;1,001
0.203331077;-0,0207;0,1184;0,9952;1,002
0.206008384;-0,0237;0,1189;0,9977;1,005
0.208421923;-0,0244;0,1213;1,0024;1,010
0.210976923;-0,0230;0,1240;1,0030;1,011
0.213392692;-0,0191;0,1154;1,0049;1,012
0.216021231;-0,0217;0,1179;1,0057;1,013
0.218530769;-0,0242;0,1226;1,0024;1,010
0.220877538;-0,0266;0,1233;0,9988;1,007
0.223862846;-0,0268;0,1228;0,9979;1,006
0.226237;-0,0274;0,1201;0,9973;1,005
0.228827384;-0,0293;0,1191;0,9954;1,003
0.231172692;-0,0268;0,1159;0,9947;1,002
0.233728615;-0,0286;0,1142;0,9993;1,006
0.236339077;-0,0281;0,1147;0,9986;1,006
0.238836077;-0,0274;0,1145;0,9952;1,002
0.241173231;-0,0274;0,1142;0,9944;1,001
0.243819077;-0,0261;0,1122;0,9888;0,995
0.246137846;-0,0244;0,1103;0,9868;0,993
0.248628923;-0,0200;0,1122;0,9851;0,992
0.251463692;-0,0142;0,1076;0,9839;0,990
0.253832615;-0,0156;0,1086;0,9842;0,990
0.257049231;-0,0203;0,1128;0,9798;0,986
0.258958154;-0,0235;0,1179;0,9737;0,981
0.261329538;-0,0271;0,1189;0,9751;0,983
0.263811692;-0,0300;0,1220;0,9763;0,984
0.266603692;-0,0305;0,1203;0,9758;0,984
0.268996615;-0,0286;0,1201;0,9763;0,984
0.271362769;-0,0296;0,1191;0,9798;0,987
0.274443769;-0,0312;0,1196;0,9832;0,991
0.276450231;-0,0324;0,1169;0,9847;0,992
0.278864;-0,0305;0,1162;0,9854;0,993
0.281184384;-0,0274;0,1174;0,9871;0,994
0.283864384;-0,0284;0,1184;0,9888;0,996
0.286393923;-0,0268;0,1162;0,9898;0,997
0.288816923;-0,0230;0,1169;0,9893;0,996
0.294074769;-0,0249;0,1157;0,9891;0,996
0.294885615;-0,0261;0,1150;0,9915;0,999
0.296511077;-0,0252;0,1135;0,9930;1,000
0.299240615;-0,0252;0,1138;0,9949;1,002
0.302010769;-0,0228;0,1142;0,9981;1,005
0.303949307;-0,0219;0,1133;1,0010;1,008
0.312195384;-0,0222;0,1135;1,0020;1,009
0.313070769;-0,0271;0,1120;1,0042;1,011
0.313672077;-0,0212;0,1086;1,0057;1,012
0.314138231;-0,0198;0,1096;1,0071;1,013
0.316676615;-0,0193;0,1089;1,0103;1,016
