time;gFx;gFy;gFz;TgF
0,004301;-0,0664;-0,0578;-0,4439;0,453
0,004959;-0,0529;-0,0583;-0,5120;0,518
0,008656;-0,0263;-0,0478;-0,4982;0,501
0,011014;-0,0546;-0,0946;-0,5525;0,563
0,019123;0,0120;-0,0625;-0,4841;0,488
0,020980;-0,0169;-0,0600;-0,4564;0,461
0,026183;-0,0055;-0,0323;-0,3061;0,308
0,036986;-0,0077;-0,0192;-0,1286;0,130
0,037713;-0,0098;0,0074;0,0762;0,077
0,041451;-0,0800;0,1191;1,2887;1,297
0,046661;0,1383;0,2697;2,7461;2,763
0,051240;0,1534;0,0052;0,1580;0,220
0,056796;-0,2131;-0,0001;0,0351;0,216
0,061433;0,1149;-0,0607;-0,3329;0,357
0,066358;-0,0340;-0,0275;-0,2786;0,282
0,071585;0,0074;-0,0373;-0,4149;0,417
0,076513;0,0350;-0,0492;-0,4150;0,419
0,082047;-0,0332;-0,0495;-0,3741;0,379
0,086205;0,0073;-0,0517;-0,3468;0,351
0,091604;-0,0069;-0,0282;-0,2650;0,267
0,096582;-0,0071;-0,0184;-0,1559;0,157
0,101621;-0,0078;-0,0099;-0,0467;0,048
0,106730;0,0186;-0,0150;0,0624;0,067
0,111746;0,0043;0,0077;0,1851;0,185
0,121180;-0,0097;0,0462;0,5393;0,541
0,122392;0,0448;0,0466;0,4576;0,462
0,127234;-0,0228;0,0353;0,2124;0,216
0,135702;0,0184;-0,0167;-0,0601;0,065
0,136837;0,0048;-0,0012;-0,1147;0,115
0,142175;-0,0222;-0,0272;-0,1692;0,173
0,146992;0,0050;-0,0405;-0,1964;0,201
0,151931;0,0323;-0,0277;-0,2100;0,214
0,157012;-0,0082;-0,0153;-0,1964;0,197
0,162000;0,0187;-0,0179;-0,1418;0,144
0,167358;-0,0363;-0,0073;0,0762;0,085
0,172277;0,0316;0,0455;0,3759;0,380
0,177344;0,0166;0,0308;0,3487;0,350
0,182422;-0,0241;0,0052;0,1580;0,160
0,187402;-0,0101;-0,0067;-0,1009;0,102
0,192283;-0,0100;-0,0464;-0,1826;0,189
0,198555;0,0164;-0,0312;-0,2508;0,253
0,202495;-0,0248;-0,0324;-0,2644;0,268
0,207475;-0,0115;-0,0348;-0,1145;0,120
0,212510;0,0019;0,0040;0,1852;0,185
0,217730;0,0015;0,0163;0,2534;0,254
0,222855;0,0015;0,0166;0,1989;0,200
0,227701;0,0017;-0,0095;0,0626;0,063
0,235341;-0,0118;-0,0086;-0,0736;0,075
0,238045;-0,0108;-0,0080;-0,1417;0,142
0,242947;-0,0108;-0,0219;-0,1281;0,130
0,249975;-0,0110;-0,0227;-0,0463;0,053
