time,gFx,gFy,gFz,TgF
0.001883438,0.0358,0.0018,1.0063,1.007
0.002705208,0.0385,-0.0009,1.0068,1.007
0.003133125,0.0385,-0.0006,1.0087,1.009
0.003527083,0.0360,0.0013,1.0102,1.011
0.003884583,0.0365,0.0023,1.0060,1.007
0.004252656,0.0397,0.0009,1.0033,1.004
0.004610521,0.0380,-0.0009,1.0070,1.008
0.004965469,0.0377,-0.0004,1.0063,1.007
0.007739063,0.0377,0.0006,1.0053,1.006
0.011826458,0.0355,-0.0006,1.0082,1.009
0.012262344,0.0372,0.0016,1.0033,1.004
0.014607344,0.0367,0.0013,1.0053,1.006
0.016727083,0.0358,0.0018,1.0038,1.004
0.019654844,0.0397,-0.0009,1.0043,1.005
0.021660938,0.0375,0.0001,1.0065,1.007
0.02689875,0.0363,0.0004,1.0085,1.009
0.027257604,0.0331,0.0018,1.0080,1.009
0.029276458,0.0367,0.0021,1.0048,1.005
0.031962865,0.0397,0.0018,1.0053,1.006
0.034323594,0.0358,-0.0004,1.0050,1.006
0.036832552,0.0402,0.0016,1.0053,1.006
0.039500365,0.0375,-0.0016,1.0090,1.010
0.042475781,0.0377,0.0009,1.0058,1.006
0.044518333,0.0380,-0.0006,1.0038,1.005
0.047187344,0.0335,0.0006,1.0063,1.007
0.049480469,0.0377,0.0023,1.0070,1.008
0.051841042,0.0358,0.0018,1.0070,1.008
0.054263646,0.0394,-0.0016,1.0075,1.008
0.058958438,0.0372,0.0004,1.0050,1.006
0.059996511,0.0350,0.0013,1.0055,1.006
0.063025156,0.0377,-0.0014,1.0077,1.008
0.064602761,0.0392,-0.0011,1.0053,1.006
0.067221094,0.0367,-0.0004,1.0050,1.006
0.069445781,0.0358,0.0026,1.0099,1.011
0.0717525,0.0348,-0.0011,1.0082,1.009
0.075369427,0.0377,0.0018,1.0075,1.008
0.076970886,0.0363,-0.0009,1.0050,1.006
0.079348854,0.0350,0.0021,1.0063,1.007
0.081765729,0.0358,0.0011,1.0092,1.010
0.084559583,0.0372,-0.0014,1.0099,1.011
0.086648073,0.0363,0.0001,1.0087,1.009
0.089349479,0.0372,-0.0002,1.0053,1.006
0.092125156,0.0372,0.0045,1.0065,1.007
0.094502448,0.0353,0.0004,1.0107,1.011
0.097196458,0.0358,-0.0021,1.0077,1.008
0.099443333,0.0348,0.0016,1.0077,1.008
0.101699531,0.0358,0.0018,1.0090,1.010
0.104264896,0.0358,0.0004,1.0094,1.010
0.108977136,0.0370,-0.0006,1.0050,1.006
0.109752813,0.0389,-0.0021,1.0048,1.006
0.111783646,0.0375,-0.0011,1.0063,1.007
0.114281146,0.0367,-0.0014,1.0072,1.008
0.116777136,0.0340,0.0031,1.0070,1.008
0.119240261,0.0377,0.0009,1.0072,1.008
0.122125781,0.0392,-0.0002,1.0063,1.007
0.131598281,0.0385,0.0016,1.0050,1.006
0.132382761,0.0385,0.0013,1.0036,1.004
0.132859948,0.0380,0.0011,1.0094,1.010
0.133308021,0.0367,0.0009,1.0063,1.007
0.134164167,0.0375,0.0033,1.0087,1.009
0.136612969,0.0382,0.0009,1.0033,1.004
0.139603802,0.0365,0.0004,1.0072,1.008
0.141794948,0.0387,-0.0016,1.0082,1.009
0.144269115,0.0397,0.0016,1.0058,1.007
0.146842396,0.0385,0.0013,1.0068,1.007
0.149229063,0.0380,0.0016,1.0043,1.005
0.151691823,0.0375,0.0004,1.0053,1.006
0.154124427,0.0360,-0.0002,1.0063,1.007
0.15860099,0.0367,0.0016,1.0075,1.008
0.159252604,0.0377,-0.0006,1.0072,1.008
0.161807448,0.0385,-0.0011,1.0065,1.007
0.16429026,0.0372,-0.0014,1.0058,1.006
0.166830521,0.0392,0.0028,1.0063,1.007
0.16911026,0.0375,0.0006,1.0075,1.008
0.171565,0.0363,-0.0002,1.0053,1.006
0.174598125,0.0367,-0.0002,1.0048,1.005
0.176772813,0.0375,-0.0016,1.0082,1.009
0.179444427,0.0365,0.0004,1.0072,1.008
0.181920885,0.0382,-0.0009,1.0058,1.007
0.184078958,0.0389,0.0021,1.0043,1.005
0.186618594,0.0382,0.0018,1.0068,1.007
0.189254635,0.0377,-0.0014,1.0063,1.007
0.191971198,0.0385,0.0004,1.0063,1.007
0.194218594,0.0363,0.0023,1.0077,1.008
0.196931719,0.0375,-0.0004,1.0087,1.009
0.199211823,0.0380,0.0016,1.0077,1.008
