time;gFx;gFy;gFz;TgF
0.002060923;0,0036;-0,0435;0,9917;0,993
0.002641615;0,0060;-0,0471;0,9996;1,001
0.00309323;0,0026;-0,0445;1,0012;1,002
0.006678461;-0,0095;-0,0403;0,9977;0,999
0.007237615;-0,0079;-0,0422;0,9944;0,995
0.008188307;0,0048;-0,0377;0,9817;0,982
0.010464077;0,0099;-0,0352;0,9714;0,972
0.01428223;0,0043;-0,0377;0,9851;0,986
0.017283769;0,0048;-0,0373;0,9964;0,997
0.023130846;0,0146;-0,0345;0,9986;0,999
0.023655154;0,0136;-0,0364;0,9954;0,996
0.024101923;-0,0007;-0,0438;0,9966;0,998
0.025510538;-0,0032;-0,0454;1,0059;1,007
0.028186154;0,0069;-0,0357;1,0064;1,007
0.030623692;0,0160;-0,0315;1,0096;1,010
0.033284077;0,0065;-0,0377;1,0086;1,009
0.037360692;-0,0068;-0,0422;1,0066;1,008
0.038130154;-0,0046;-0,0438;1,0079;1,009
0.040914154;0,0050;-0,0384;1,0066;1,007
0.043217846;0,0099;-0,0349;1,0040;1,005
0.046176615;0,0004;-0,0408;1,0040;1,005
0.048457615;-0,0139;-0,0447;1,0042;1,005
0.050817846;-0,0122;-0,0457;1,0096;1,011
0.054611384;-0,0014;-0,0447;1,0089;1,010
0.055916923;-0,0066;-0,0442;1,0057;1,007
0.058429615;-0,0142;-0,0482;1,0030;1,004
0.061000384;-0,0088;-0,0452;0,9984;0,999
0.063404;-0,0093;-0,0435;0,9977;0,999
0.065944615;-0,0161;-0,0499;1,0033;1,005
0.069255461;-0,0176;-0,0545;1,0054;1,007
0.071065538;-0,0075;-0,0462;1,0081;1,009
0.074187077;0,0072;-0,0382;1,0076;1,008
0.076669;-0,0012;-0,0433;1,0113;1,012
0.078519154;-0,0228;-0,0525;1,0235;1,025
0.081153307;-0,0107;-0,0511;1,0218;1,023
0.083528307;0,0078;-0,0430;1,0057;1,007
0.086290846;0,0139;-0,0396;0,9986;0,999
0.088632923;0,0050;-0,0415;1,0035;1,004
0.091101538;-0,0032;-0,0457;1,0113;1,012
0.093619384;-0,0051;-0,0440;1,0076;1,009
0.096161538;-0,0030;-0,0391;0,9959;0,997
0.098789923;0,0011;-0,0386;0,9935;0,994
0.101160384;0,0034;-0,0394;0,9917;0,993
0.10461723;-0,0091;-0,0406;0,9954;0,996
0.10626;-0,0127;-0,0410;1,0010;1,002
0.10869723;-0,0051;-0,0342;1,0005;1,001
0.111268692;0,0041;-0,0298;0,9988;0,999
0.113793615;0,0055;-0,0323;0,9973;0,998
0.11627723;-0,0014;-0,0394;1,0012;1,002
0.119011692;-0,0054;-0,0438;1,0066;1,008
0.12144;-0,0088;-0,0406;1,0079;1,009
0.123777846;-0,0017;-0,0389;1,0040;1,005
0.126552615;-0,0026;-0,0396;0,9968;0,998
0.128938461;-0,0049;-0,0413;0,9942;0,995
